"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Apr 17 05:09:29 UTC 2026","Fri Apr 17 05:09:36 UTC 2026","6765","Master Suite - Ranty SAC nopCommerce","Full Execution - All Modules","org.tests.RegistroTest","org.tests.RegistroTest","registroCamposFaltantes","registroCamposFaltantes","Verificar que el sistema valide adecuadamente cuando faltan campos obligatorios."
"passed","Fri Apr 17 05:10:55 UTC 2026","Fri Apr 17 05:10:57 UTC 2026","1408","Master Suite - Ranty SAC nopCommerce","Full Execution - All Modules","org.tests.OrdenesTest","org.tests.OrdenesTest","realizarCompra","realizarCompra","Escenario de flujo completo: login, selección, envío y confirmación de pedido."
"passed","Fri Apr 17 05:09:49 UTC 2026","Fri Apr 17 05:09:51 UTC 2026","2491","Master Suite - Ranty SAC nopCommerce","Full Execution - All Modules","org.tests.RegistroTest","org.tests.RegistroTest","registroEmailDuplicado","registroEmailDuplicado","Asegurarse de que el sistema evite registros duplicados con el mismo correo."
"passed","Fri Apr 17 05:10:35 UTC 2026","Fri Apr 17 05:10:44 UTC 2026","8660","Master Suite - Ranty SAC nopCommerce","Full Execution - All Modules","org.tests.OrdenesTest","org.tests.OrdenesTest","EliminarProducto","EliminarProducto","Comprobar que el usuario pueda eliminar productos del carrito de compras."
"passed","Fri Apr 17 05:10:05 UTC 2026","Fri Apr 17 05:10:11 UTC 2026","6844","Master Suite - Ranty SAC nopCommerce","Full Execution - All Modules","org.tests.LoginTest","org.tests.LoginTest","correoNoRegistradoEnLaWeb","correoNoRegistradoEnLaWeb","Validar que el sistema maneje el escenario donde un correo no existe en la base de datos."
"passed","Fri Apr 17 05:09:59 UTC 2026","Fri Apr 17 05:10:01 UTC 2026","1934","Master Suite - Ranty SAC nopCommerce","Full Execution - All Modules","org.tests.LoginTest","org.tests.LoginTest","credencialesIncorrectas","credencialesIncorrectas","Verificar que el sistema muestre un mensaje de error apropiado ante credenciales inválidas."
"passed","Fri Apr 17 05:10:15 UTC 2026","Fri Apr 17 05:10:24 UTC 2026","9097","Master Suite - Ranty SAC nopCommerce","Full Execution - All Modules","org.tests.LoginTest","org.tests.LoginTest","olvidarContrasena","olvidarContrasena","Verificar el funcionamiento de la recuperación de contraseña mediante envío de link al correo."
"passed","Fri Apr 17 05:09:39 UTC 2026","Fri Apr 17 05:09:40 UTC 2026","1850","Master Suite - Ranty SAC nopCommerce","Full Execution - All Modules","org.tests.RegistroTest","org.tests.RegistroTest","registroEmailInvalido","registroEmailInvalido","Comprobar que el sistema rechace direcciones de correo con formato incorrecto."
"passed","Fri Apr 17 05:09:43 UTC 2026","Fri Apr 17 05:09:46 UTC 2026","2482","Master Suite - Ranty SAC nopCommerce","Full Execution - All Modules","org.tests.RegistroTest","org.tests.RegistroTest","registroPasswordConfirmFail","registroPasswordConfirmFail","Verificar que el sistema requiera coincidencia entre contraseña y confirmación."
"passed","Fri Apr 17 05:09:12 UTC 2026","Fri Apr 17 05:09:17 UTC 2026","5559","Master Suite - Ranty SAC nopCommerce","Full Execution - All Modules","org.tests.RegistroTest","org.tests.RegistroTest","registrarUsuarioExitoso","registrarUsuarioExitoso","Validar que un usuario pueda registrarse con información válida y completa."
"passed","Fri Apr 17 05:10:47 UTC 2026","Fri Apr 17 05:10:53 UTC 2026","6162","Master Suite - Ranty SAC nopCommerce","Full Execution - All Modules","org.tests.OrdenesTest","org.tests.OrdenesTest","modificarCantidadProducto","modificarCantidadProducto","Asegurarse de que el usuario pueda ajustar la cantidad de productos antes del pago."
"passed","Fri Apr 17 05:09:54 UTC 2026","Fri Apr 17 05:09:56 UTC 2026","2029","Master Suite - Ranty SAC nopCommerce","Full Execution - All Modules","org.tests.LoginTest","org.tests.LoginTest","login","login","Verificar que el sistema permita el acceso a un usuario con credenciales válidas y lo redirija a su cuenta."
"passed","Fri Apr 17 05:10:27 UTC 2026","Fri Apr 17 05:10:32 UTC 2026","5417","Master Suite - Ranty SAC nopCommerce","Full Execution - All Modules","org.tests.OrdenesTest","org.tests.OrdenesTest","AgregarProductos","AgregarProductos","Verificar que el usuario pueda agregar productos al carrito desde el catálogo."
